symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration,,,,,,,,
ZNM4,5,1,0.015625,49137414981,49137414969,5,109 245,109 245,$0.00,04/04/2024 09:40:41,04/04/2024 09:37:40,3min 1sec,,,,,,,,
ZNM4,5,1,0.015625,49137415007,49137415031,5,109 235,109 230,$(78.12),04/04/2024 10:14:19,04/04/2024 10:16:37,2min 18sec,,,,,,,,
ZNM4,5,1,0.015625,49137415057,49137415069,5,109 240,109 240,$0.00,04/04/2024 10:45:03,04/04/2024 10:47:18,2min 14sec,,,,,,,,
ZNM4,5,1,0.015625,49137415253,49137415265,1,110 010,110 015,$15.62,04/05/2024 09:37:12,04/05/2024 09:40:19,3min 7sec,,,,,,,,
ZNM4,5,1,0.015625,49137415399,49137415411,1,109 300,109 300,$0.00,04/05/2024 10:25:06,04/05/2024 10:25:51,45sec,,,,,,,,
ZNM4,5,1,0.015625,49137415482,49137415503,1,109 305,109 305,$0.00,04/05/2024 10:39:54,04/05/2024 10:44:33,4min 39sec,,,,,,,,
ZNM4,5,1,0.015625,49137415585,49137415599,1,109 070,109 075,$15.62,04/08/2024 09:38:29,04/08/2024 09:39:45,1min 15sec,,,,,,,,
ZNM4,5,1,0.015625,49137415679,49137415700,5,109 060,109 060,$0.00,04/08/2024 10:18:11,04/08/2024 10:20:34,2min 22sec,,,,,,,,
ZNM4,5,1,0.015625,49137415794,49137415767,5,109 145,109 130,$(234.38),04/09/2024 09:25:17,04/09/2024 09:23:20,1min 57sec,,,,,,,,
ZNM4,5,1,0.015625,49137415858,49137415918,5,109 130,109 130,$0.00,04/09/2024 10:07:40,04/09/2024 10:22:41,15min ,,,,,,,,
ZNM4,5,1,0.015625,49137415867,49137415918,5,109 125,109 130,$78.12,04/09/2024 10:11:50,04/09/2024 10:22:41,10min 50sec,,,,,,,,
ZNM4,5,1,0.015625,49137416052,49137416038,5,109 220,109 225,$78.12,04/10/2024 10:52:52,04/10/2024 10:50:03,2min 48sec,,,,,,,,
ZNM4,5,1,0.015625,49137416090,49137416099,3,108 225,108 230,$46.88,04/10/2024 15:39:00,04/10/2024 15:39:03,2sec,,,,,,,,
ZNM4,5,1,0.015625,49137416110,49137416119,3,108 225,108 230,$46.88,04/10/2024 15:39:59,04/10/2024 15:40:01,2sec,,,,,,,,
ZNM4,5,1,0.015625,49137416193,49137416202,3,108 195,108 200,$46.88,04/10/2024 15:55:44,04/10/2024 15:55:54,10sec,,,,,,,,
ZNM4,5,1,0.015625,49137416305,49137416296,3,108 085,108 090,$46.88,04/11/2024 09:15:09,04/11/2024 09:14:37,32sec,,,,,,,,
ZNM4,5,1,0.015625,49137416346,49137416355,3,108 075,108 080,$46.88,04/11/2024 09:28:20,04/11/2024 09:28:57,37sec,,,,,,,,
ZNM4,5,1,0.015625,49137416432,49137416462,3,108 060,108 055,$(46.88),04/11/2024 09:49:49,04/11/2024 09:50:50,1min 1sec,,,,,,,,
ZNM4,5,1,0.015625,49137416518,49137416527,1,108 060,108 065,$15.62,04/11/2024 10:15:58,04/11/2024 10:16:02,3sec,,,,,,,,
ZNM4,5,1,0.015625,49137416761,49137416770,3,108 110,108 115,$46.88,04/12/2024 10:30:39,04/12/2024 10:31:50,1min 11sec,,,,,,,,
ZNM4,5,1,0.015625,49137416886,49137416877,3,108 195,108 200,$46.88,04/12/2024 15:47:55,04/12/2024 15:47:49,5sec,,,,,,,,
ZNM4,5,1,0.015625,49137416953,49137416964,3,108 105,108 110,$46.88,04/15/2024 09:24:07,04/15/2024 09:24:19,11sec,,,,,,,,
ZNM4,5,1,0.015625,49137417058,49137417067,3,108 095,108 100,$46.88,04/15/2024 09:58:40,04/15/2024 09:59:03,23sec,,,,,,,,
ZNM4,5,1,0.015625,49137417093,49137417105,3,108 090,108 095,$46.88,04/15/2024 10:04:55,04/15/2024 10:05:08,12sec,,,,,,,,
ZNM4,5,1,0.015625,49137417211,49137417193,3,108 090,108 090,$0.00,04/15/2024 10:53:20,04/15/2024 10:52:26,54sec,,,,,,,,
ZNM4,5,1,0.015625,49137417242,49137417258,3,107 260,107 260,$0.00,04/16/2024 09:12:31,04/16/2024 09:12:35,3sec,,,,,,,,
ZNM4,5,1,0.015625,49137417338,49137417299,1,107 275,107 275,$0.00,04/16/2024 09:29:30,04/16/2024 09:29:09,20sec,,,,,,,,
ZNM4,5,1,0.015625,49137417338,49137417308,2,107 275,107 275,$0.00,04/16/2024 09:29:30,04/16/2024 09:29:21,8sec,,,,,,,,
ZNM4,5,1,0.015625,49137417384,49137417393,3,107 270,107 275,$46.88,04/16/2024 10:32:23,04/16/2024 10:32:30,7sec,,,,,,,,
ZNM4,5,1,0.015625,49137417533,49137417524,3,107 175,107 180,$46.88,04/16/2024 15:47:04,04/16/2024 15:46:44,20sec,,,,,,,,
ZNM4,5,1,0.015625,49137417625,49137417616,3,107 190,107 195,$46.88,04/16/2024 16:02:35,04/16/2024 16:02:30,5sec,,,,,,,,
ZNM4,5,1,0.015625,49137417683,49137417692,3,107 205,107 210,$46.88,04/17/2024 09:10:51,04/17/2024 09:11:32,40sec,,,,,,,,
ZNM4,5,1,0.015625,49137417835,49137417850,3,107 220,107 220,$0.00,04/17/2024 10:06:48,04/17/2024 10:07:03,15sec,,,,,,,,
ZNM4,5,1,0.015625,49137417888,49137417923,3,107 245,107 245,$0.00,04/17/2024 10:29:31,04/17/2024 10:31:27,1min 55sec,,,,,,,,
ZNM4,5,1,0.015625,49137417897,49137417946,3,107 240,107 250,$93.75,04/17/2024 10:30:37,04/17/2024 10:31:48,1min 10sec,,,,,,,,
ZNM4,5,1,0.015625,49137418022,49137418031,3,108 070,108 075,$46.88,04/18/2024 09:04:19,04/18/2024 09:04:39,20sec,,,,,,,,
ZNM4,5,1,0.015625,49137418093,49137418084,3,108 055,108 060,$46.88,04/18/2024 09:44:36,04/18/2024 09:44:24,11sec,,,,,,,,
ZNM4,5,1,0.015625,49137418113,49137418101,3,108 070,108 070,$0.00,04/18/2024 09:47:43,04/18/2024 09:47:35,8sec,,,,,,,,
ZNM4,5,1,0.015625,49137418202,49137418211,3,107 255,107 260,$46.88,04/18/2024 16:39:23,04/18/2024 16:39:27,3sec,,,,,,,,
ZNM4,5,1,0.015625,49137418323,49137418340,3,107 220,107 220,$0.00,04/22/2024 10:46:00,04/22/2024 10:46:08,8sec,,,,,,,,
ZNM4,5,1,0.015625,49137418404,49137418420,3,107 285,107 285,$0.00,04/23/2024 08:52:52,04/23/2024 08:53:12,19sec,,,,,,,,
ZNM4,5,1,0.015625,49137418434,49137418458,3,107 275,107 275,$0.00,04/23/2024 09:04:21,04/23/2024 09:06:03,1min 42sec,,,,,,,,
ZNM4,5,1,0.015625,49137418443,49137418458,3,107 270,107 275,$46.88,04/23/2024 09:05:17,04/23/2024 09:06:03,46sec,,,,,,,,
ZNM4,5,1,0.015625,49137418507,49137418516,3,107 260,107 265,$46.88,04/23/2024 09:30:00,04/23/2024 09:30:01,,,,,,,,,
